MatchNo,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home Form,Away Form,Home Streak,Away Streak
200,4,1,2,3,1,0,1,1,16,16,2,9,12,7,5,4,0,1,0,0,0.773064258479879,1.349911765354144,0.6666666666666666,0.5
201,11,5,2,1,0,1,0,0,19,6,7,1,8,13,4,4,0,0,0,0,0.5971587606221109,0.5336390565239826,0.08333333333333333,0.6666666666666666
202,3,15,5,0,0,3,0,0,21,1,12,1,5,10,7,0,1,1,0,0,1.9780959337372772,0.2627625159724704,0.8333333333333334,0.3333333333333333
203,17,12,0,0,2,0,0,2,3,11,1,4,14,14,5,4,2,1,0,0,0.8143729922682852,1.0812261171783395,0.4166666666666667,0.4166666666666667
204,14,13,2,1,0,0,1,1,17,7,6,1,7,3,7,1,3,2,0,0,1.429135978680566,0.5434177340089077,0.6666666666666666,0.3333333333333333
205,9,6,0,0,2,0,0,2,15,8,3,3,12,13,10,7,2,4,0,0,1.3162444919579317,0.7420090154606949,0.6666666666666666,0.08333333333333333
206,10,2,0,0,2,0,0,2,11,10,2,3,11,10,3,6,2,2,0,0,0.16333418580192385,0.17455803827699962,0.25,0.3333333333333333
207,7,16,1,2,1,1,0,0,9,9,4,4,14,13,1,8,4,2,0,0,0.543200446163365,0.3348877217338421,0.25,0.08333333333333333
208,4,19,0,0,2,0,0,2,10,15,1,4,14,11,7,8,5,4,0,0,2.024993975220489,3.314860956104753,0.5833333333333334,1.0
209,8,1,1,1,2,0,0,2,14,14,3,4,14,9,5,6,3,3,0,0,0.8026394856063588,1.0803597469709063,0.16666666666666666,0.6666666666666666
210,2,11,2,2,2,1,1,2,15,26,6,8,13,9,5,12,2,1,0,0,0.6342784264490245,0.5065642553611517,0.4166666666666667,0.3333333333333333
211,12,14,1,2,1,0,0,2,13,19,4,5,4,12,3,9,0,0,0,0,0.5341701995208041,2.0101323264289648,0.25,0.8333333333333334
212,5,9,0,2,1,0,0,2,12,21,0,6,11,10,6,6,2,0,0,0,0.8596658669310772,2.1200234897231582,0.4166666666666667,0.5
213,13,17,3,0,0,0,0,2,11,6,5,1,7,9,4,1,1,1,0,0,1.4552776725592869,0.2564278361868241,0.08333333333333333,0.5
214,15,10,0,1,1,0,0,2,11,14,4,6,10,11,10,5,3,1,0,0,0.4718664902364657,0.7726598859020631,0.3333333333333333,0.3333333333333333
215,19,7,3,1,0,2,0,0,17,7,7,4,8,12,9,1,1,1,0,0,3.249814135571359,0.18952057236957004,0.8333333333333334,0.25
216,6,4,1,2,1,1,0,0,10,11,3,4,8,11,4,7,0,1,0,0,0.2977463099737555,0.8865377127984473,0.16666666666666666,0.4166666666666667
217,16,18,0,2,1,0,1,1,8,12,1,5,12,9,6,5,2,2,0,0,0.4105792519028528,1.0595239654627542,0.3333333333333333,0.75
218,20,8,2,1,0,0,1,1,13,10,5,3,12,12,3,4,3,2,0,0,0.950417264929888,0.3512052931642633,0.4166666666666667,0.16666666666666666
219,1,3,2,2,2,0,0,2,14,19,6,6,11,11,10,8,3,2,0,0,1.7564549601867212,1.6168532558771664,0.6666666666666666,0.8333333333333334
220,18,20,1,1,2,0,0,2,31,3,8,1,10,6,7,1,0,2,0,0,1.120175930109069,0.7532077460661302,0.75,0.5833333333333334
221,3,13,0,0,2,0,0,2,17,14,7,1,14,13,6,3,2,2,0,1,1.5046521278269154,1.0168615399192698,0.6666666666666666,0.3333333333333333
222,4,12,1,0,0,1,0,0,17,8,2,2,16,10,3,2,0,3,0,0,2.3817985938893407,0.7244214985094874,0.4166666666666667,0.16666666666666666
223,17,20,1,4,1,1,1,2,8,8,2,6,7,9,7,3,1,1,0,0,0.545629904819751,1.0219508335146643,0.25,0.4166666666666667
224,10,16,1,1,2,0,0,2,12,8,4,5,11,10,4,5,0,3,0,0,0.21994685265945688,0.27827505487630905,0.5833333333333334,0.3333333333333333
225,18,5,4,0,0,1,0,0,20,7,10,0,11,15,3,3,0,2,0,0,1.2962768187619833,0.3575381678710683,0.8333333333333334,0.16666666666666666
226,7,6,2,2,2,0,2,1,16,10,4,4,11,13,5,4,0,5,0,0,0.6088072740314839,0.676402187592576,0.25,0.16666666666666666
227,8,2,2,0,0,1,0,0,15,13,4,1,8,15,9,6,0,0,0,0,0.8602436382377686,0.11695388564558976,0.16666666666666666,0.4166666666666667
228,11,1,2,1,0,0,0,2,13,12,5,3,8,10,4,5,2,2,0,0,0.95367747712251,0.7238410304705074,0.4166666666666667,0.5
229,14,19,4,3,0,1,1,2,16,11,7,4,10,7,5,6,2,3,0,0,2.5230400941951348,2.2209568405901847,0.8333333333333334,0.8333333333333334
230,9,15,3,0,0,2,0,0,20,11,9,5,14,10,6,1,2,1,0,0,1.402956122228847,0.17605088570155514,0.5,0.3333333333333333
231,1,4,4,1,0,4,0,0,16,9,10,5,6,8,5,10,0,0,0,0,2.049012405410209,0.5939802675749597,0.4166666666666667,0.5833333333333334
232,2,3,0,4,1,0,2,1,10,14,3,10,12,5,5,3,3,0,0,0,0.4249665457208465,1.8261651366053449,0.16666666666666666,0.6666666666666666
233,12,9,0,1,1,0,0,2,13,12,2,2,7,12,5,4,3,3,0,0,0.3578940336789388,2.2962996555650235,0.16666666666666666,0.6666666666666666
234,5,8,1,1,2,0,1,1,9,15,4,5,15,10,0,3,2,1,0,0,0.6918738775880285,0.5189972825073119,0.08333333333333333,0.4166666666666667
235,13,7,2,0,0,1,0,0,9,11,5,3,11,10,4,5,0,0,0,0,1.517819461441245,0.12697878348761193,0.3333333333333333,0.3333333333333333
236,19,10,3,1,0,1,0,0,21,6,9,4,5,10,18,0,0,1,0,0,3.50479189791904,0.5176821235543823,0.5833333333333334,0.4166666666666667
237,15,17,2,0,0,0,0,2,11,6,6,3,18,13,3,2,1,1,0,0,0.5564876761781177,0.17180665024517214,0.08333333333333333,0.16666666666666666
238,20,11,1,1,2,0,0,2,12,8,4,3,8,7,6,3,3,1,0,0,0.8039457717722049,0.6530357485188347,0.6666666666666666,0.6666666666666666
239,6,18,1,1,2,1,1,2,10,17,4,2,8,15,2,9,2,3,0,0,0.5491329362851249,0.8081373391513844,0.16666666666666666,0.8333333333333334
240,16,14,1,0,0,1,0,0,3,21,2,4,5,9,3,9,0,2,0,0,1.073922919624411,1.3467886587074065,0.3333333333333333,1.0
241,17,14,0,3,1,0,2,1,5,14,1,7,8,8,1,4,0,0,0,0,0.3655720362292332,1.5268465272979244,0.08333333333333333,0.75
242,16,1,3,1,0,1,1,2,12,9,4,4,4,8,4,3,0,3,0,0,1.312790459679679,0.48497349041524,0.5833333333333334,0.4166666666666667
243,20,4,1,1,2,1,1,2,8,9,3,3,11,15,5,3,1,3,0,0,0.7346571553871141,0.6632688839600507,0.6666666666666666,0.5833333333333334
244,3,11,0,3,1,0,0,2,21,11,5,5,5,12,8,5,1,0,0,0,1.0081169256440332,1.1495709507017169,0.6666666666666666,0.6666666666666666
245,5,13,2,1,0,2,0,0,9,8,4,1,9,10,5,5,0,2,0,0,1.0274381857613877,0.6812972317459107,0.08333333333333333,0.5833333333333334
246,19,8,3,0,0,1,0,0,19,3,10,1,10,10,9,1,1,3,0,0,3.676061001146453,0.34772817927989896,0.5833333333333334,0.4166666666666667
247,10,12,1,1,2,0,0,2,14,11,4,2,15,15,7,4,1,2,0,0,0.38642348578996705,0.5579448653789774,0.4166666666666667,0.08333333333333333
248,6,2,1,1,2,0,1,1,18,9,3,2,8,10,7,2,3,1,0,0,0.4065138495740783,0.25957297235663634,0.25,0.16666666666666666
249,15,7,0,0,2,0,0,2,11,12,4,2,12,12,2,6,4,3,0,0,0.4147497415902508,0.2687167180754788,0.25,0.08333333333333333
250,18,9,2,0,0,2,0,0,22,6,6,3,10,13,6,3,2,2,0,0,2.054055705098441,1.5385207692285658,0.6666666666666666,0.8333333333333334
251,1,5,5,1,0,4,0,0,15,11,7,2,8,8,4,6,2,0,0,0,2.1670000008076613,0.2395505724736157,0.3333333333333333,0.3333333333333333
252,11,15,2,1,0,0,1,1,15,13,8,4,14,19,8,1,2,3,0,0,1.0117742694040233,0.11795409342004196,0.6666666666666666,0.3333333333333333
253,2,20,3,1,0,1,1,2,21,4,5,1,11,7,4,1,3,1,0,0,0.7622103207806856,0.6847070584548252,0.16666666666666666,0.5
254,12,19,1,1,2,0,1,1,8,20,3,7,9,6,3,13,4,1,0,0,0.97270475995965,1.6061461143094735,0.08333333333333333,0.75
255,13,16,1,1,2,1,0,0,13,3,5,1,9,8,3,3,1,0,0,0,1.1087698072748162,0.6873247090427379,0.5833333333333334,0.5833333333333334
256,9,17,2,0,0,0,0,2,16,4,7,0,5,19,5,2,2,4,0,0,1.4596523168097535,0.11511045566426535,0.75,0.0
257,8,6,2,3,1,1,2,1,9,13,3,5,12,10,5,7,2,1,0,0,0.5763632376193051,0.9602825882110396,0.3333333333333333,0.25
258,4,10,1,1,2,0,1,1,21,11,6,8,11,8,5,6,1,1,0,0,1.7666401586788043,1.1328405587649186,0.5833333333333334,0.4166666666666667
259,14,18,2,2,2,1,0,0,9,13,3,6,15,9,3,7,3,1,0,0,1.9571221850306968,1.374055248315822,0.75,0.6666666666666666
260,7,3,4,1,0,1,0,0,21,7,8,3,11,8,6,2,2,2,0,1,1.2114417691112478,1.2235306415255809,0.16666666666666666,0.4166666666666667
261,5,4,3,1,0,0,0,2,11,16,5,4,14,15,8,7,1,1,0,0,1.2463169174682045,0.444390152253234,0.3333333333333333,0.4166666666666667
262,19,13,5,1,0,1,1,2,19,2,11,2,10,12,8,2,2,3,0,0,3.9008890876226032,0.4564691452697602,0.5833333333333334,0.4166666666666667
263,15,2,1,1,2,0,1,1,15,14,3,6,6,10,7,4,0,0,0,0,0.36354140774315796,0.3107813062037291,0.3333333333333333,0.3333333333333333
264,16,12,1,0,0,0,0,2,12,13,4,1,10,9,5,2,2,1,0,0,1.4969122652547413,0.3738230598039149,0.6666666666666666,0.16666666666666666
265,18,1,1,0,0,0,0,2,18,6,6,1,13,9,10,2,2,1,0,0,2.21409695693547,0.32493223857821074,0.6666666666666666,0.5
266,20,7,2,0,0,1,0,0,8,11,4,4,11,7,8,7,1,1,0,0,0.8233336723520219,0.1800402011105708,0.4166666666666667,0.4166666666666667
267,17,11,4,1,0,2,1,0,15,7,4,2,12,12,2,6,0,3,0,0,0.7449304499607998,0.7702125369701502,0.0,0.8333333333333334
268,10,9,1,0,0,0,0,2,10,13,3,6,12,15,0,10,0,2,0,0,0.8941353396353937,1.030808915383139,0.25,0.75
269,6,14,0,2,1,0,2,1,6,16,4,4,5,8,3,1,1,2,0,0,0.2723642792146325,1.6609960976573699,0.5,0.5833333333333334
270,3,8,3,0,0,1,0,0,20,8,8,1,11,11,8,7,0,2,0,0,1.1228672248063998,0.2329778801175323,0.3333333333333333,0.3333333333333333
271,11,10,2,2,2,0,2,1,18,15,5,4,12,10,8,1,1,4,0,0,1.0517261448931188,1.0928886832758231,0.5833333333333334,0.4166666666666667
272,2,16,4,1,0,1,0,0,16,11,5,1,17,6,3,5,1,0,0,0,0.9890274747647892,0.4605075550586344,0.4166666666666667,0.8333333333333334
273,12,6,1,1,2,0,0,2,9,13,3,6,8,14,7,5,1,0,0,0,0.9686054432826086,0.9643819048880812,0.16666666666666666,0.4166666666666667
274,13,15,1,1,2,0,1,1,19,6,9,2,10,16,13,1,1,3,0,0,0.7818006217027407,0.4449232789921175,0.3333333333333333,0.4166666666666667
275,14,20,4,1,0,1,0,0,21,7,12,4,7,7,8,2,0,2,0,0,2.183075514320789,0.4587537291647328,0.5833333333333334,0.4166666666666667
276,7,5,1,0,0,0,0,2,13,7,5,2,10,9,6,5,3,1,0,0,1.2904934580275411,0.16049888355732256,0.3333333333333333,0.5833333333333334
277,8,17,1,2,1,0,0,2,10,16,3,7,11,9,6,3,1,1,0,0,0.3861633692049343,0.305310324078636,0.08333333333333333,0.25
278,4,18,0,1,1,0,0,2,5,14,3,4,12,5,2,13,0,1,0,0,1.183648906314799,1.9570465006798277,0.16666666666666666,0.6666666666666666
279,9,3,2,1,0,1,1,2,10,14,5,7,13,12,3,4,2,2,0,0,1.8634174285131957,0.8197655298221391,0.5,0.5
280,1,19,0,3,1,0,3,1,10,9,5,5,11,11,6,1,1,1,0,0,1.451890000541133,2.321256114576002,0.5,0.8333333333333334
281,12,5,2,1,0,0,1,1,21,10,8,4,9,12,10,4,1,1,0,1,1.021570074856525,0.1075342519834061,0.25,0.5
282,13,11,1,1,2,0,1,1,23,8,4,3,11,7,13,1,2,1,0,0,0.7779765537409858,0.7740366049319051,0.16666666666666666,0.5833333333333334
283,14,10,2,0,0,1,0,0,14,7,3,2,7,9,8,3,0,0,0,0,2.543728779801811,0.7322354177948014,0.8333333333333334,0.5
284,6,15,0,0,2,0,0,2,18,12,6,3,8,13,15,4,0,1,0,0,0.3293087491412025,0.3879788090655473,0.4166666666666667,0.25
285,16,20,4,1,0,2,0,0,9,7,8,2,9,14,4,5,0,3,0,0,1.6483009958791028,0.307364998540371,0.5833333333333334,0.3333333333333333
286,18,17,2,0,0,1,0,0,15,3,7,3,6,8,8,1,1,1,0,0,2.31484936388142,0.20455791713268606,0.8333333333333334,0.5
287,7,8,1,0,0,0,0,2,15,9,4,2,11,12,4,6,2,0,0,0,1.3673761584663269,0.15609517967874664,0.5833333333333334,0.0
288,2,1,2,1,0,2,1,0,13,15,6,7,13,12,6,11,3,3,0,0,1.096255113495599,0.2177045998474012,0.6666666666666666,0.25
289,19,3,1,0,0,0,0,2,13,3,3,0,8,9,5,2,2,1,0,0,4.171411712463909,0.5492429049808332,0.8333333333333334,0.25
290,4,9,2,3,1,1,0,0,10,17,4,8,10,8,3,7,1,3,0,0,0.7930447672309153,1.4214130544670227,0.16666666666666666,0.5
291,3,4,2,1,0,2,0,0,27,9,11,2,8,9,12,3,1,2,0,0,1.269515975049967,0.2977414020096668,0.25,0.08333333333333333
292,5,2,2,0,0,0,0,2,13,10,3,4,10,14,10,3,0,1,0,1,1.348874748515435,0.20822347515649853,0.25,0.8333333333333334
293,17,16,0,0,2,0,0,2,30,0,4,0,9,9,12,0,2,3,0,1,0.6510708946430852,0.554367110376349,0.5,0.5833333333333334
294,9,14,2,1,0,2,0,0,5,14,2,2,10,16,1,13,2,1,0,0,2.4115461407401275,1.1128673854304378,0.75,0.8333333333333334
295,10,6,3,0,0,2,0,0,7,6,5,2,10,10,2,6,0,2,0,0,1.2123813682484603,0.6461358762750142,0.4166666666666667,0.4166666666666667
296,8,13,1,4,1,1,1,2,6,14,2,6,6,7,7,6,1,3,0,0,0.258729457367306,0.5839030571073885,0.0,0.25
297,20,12,0,3,1,0,0,2,13,7,4,4,13,7,5,1,2,2,0,0,0.5516335604758548,0.6455231716800821,0.25,0.4166666666666667
298,1,7,3,0,0,1,0,0,11,11,7,4,12,9,4,9,2,1,0,0,1.5113032669076214,0.12062693474408245,0.25,0.75
299,11,18,1,4,1,1,1,2,14,12,3,8,10,7,4,5,1,1,0,0,0.7046565170783896,2.3041161284945564,0.4166666666666667,0.8333333333333334
300,15,19,0,2,1,0,1,1,3,17,0,6,6,8,3,10,1,0,0,0,0.2435727431879159,2.441224779131244,0.25,0.8333333333333334
301,11,8,2,1,0,0,0,2,17,11,5,6,6,9,3,2,1,2,0,0,0.756167926372376,0.10458377038476024,0.16666666666666666,0.0
302,17,4,0,2,1,0,1,1,6,17,2,6,11,12,4,7,3,2,0,0,0.4362174994108671,0.512594797241885,0.5833333333333334,0.0
303,14,7,5,0,0,2,0,0,13,4,10,1,5,4,6,1,1,0,0,0,2.5835356682673583,0.08082004627853523,0.75,0.5
304,15,5,1,2,1,0,0,2,9,17,4,9,13,12,1,9,1,1,1,0,0.16319373793590364,0.18791325723541835,0.25,0.5
305,2,13,0,2,1,0,0,2,15,6,3,4,11,13,6,1,2,4,0,1,0.7344909260420511,0.9456672445609362,0.5833333333333334,0.4166666666666667
306,4,14,1,2,1,1,0,0,6,16,3,6,6,8,4,6,2,2,0,0,0.5313399940447132,1.37457215861664,0.25,0.75
307,5,19,1,3,1,0,3,1,6,18,2,4,10,8,2,11,0,0,0,0,0.9037460815053416,2.886353446141338,0.5,1.0
308,9,16,2,0,0,2,0,0,11,3,5,2,5,13,3,3,0,0,0,0,2.5944872871643225,0.3714259639521538,0.75,0.5833333333333334
309,10,17,1,0,0,0,0,2,18,4,3,0,9,10,3,3,1,4,0,0,1.279885480902247,0.1370538044788997,0.5833333333333334,0.3333333333333333
310,7,11,2,2,2,1,1,2,16,13,5,6,16,6,7,4,4,0,0,0,1.1715741057999676,0.9698386575982644,0.5,0.4166666666666667
311,8,12,1,2,1,0,1,1,8,11,3,4,12,9,1,6,1,3,0,0,0.17334873643609502,0.7309038926112931,0.0,0.5833333333333334
312,20,6,3,0,0,3,0,0,13,9,5,0,9,16,5,9,0,3,0,0,0.7648583996466095,0.4329110371042595,0.25,0.16666666666666666
313,1,15,3,0,0,0,0,2,24,8,11,2,9,13,6,5,1,2,0,0,1.6393362738992519,0.2599458020739168,0.25,0.16666666666666666
314,3,18,1,3,1,1,1,2,14,12,4,7,4,11,5,5,0,1,0,0,0.8505757032834778,2.723056400261046,0.5,1.0
315,11,4,2,2,2,0,0,2,20,13,5,6,8,9,11,3,2,2,0,0,0.6757887937593139,0.592973929854947,0.4166666666666667,0.25
316,2,17,1,1,2,1,1,2,13,14,4,5,13,7,5,3,1,0,1,0,0.5373366759262111,0.3342080545947397,0.5,0.08333333333333333
317,5,14,0,0,2,0,0,2,6,10,1,3,12,7,3,2,0,0,0,0,1.05911868695207,1.2191995531699114,0.5,0.75
318,13,10,1,2,1,0,1,1,8,8,1,4,7,14,7,5,1,3,0,0,0.5212442910064605,0.9889676805293268,0.6666666666666666,0.5833333333333334
319,19,9,2,3,1,2,0,0,20,5,6,4,17,9,8,4,6,3,0,0,2.7948458473508198,2.7979789195801135,1.0,1.0
320,15,18,1,2,1,0,0,2,10,15,4,4,19,8,6,3,4,3,0,0,0.10933980441705543,2.776910333779894,0.08333333333333333,1.0
321,7,12,1,2,1,0,0,2,14,7,5,4,18,12,11,1,2,2,0,0,0.7849546508859783,1.1175233475252824,0.3333333333333333,0.8333333333333334
322,8,16,1,1,2,0,0,2,15,7,3,1,15,5,5,1,3,2,0,0,0.23871422151639446,0.3060604788718544,0.0,0.3333333333333333
323,1,6,3,2,0,2,1,0,13,15,7,8,11,7,8,6,2,1,1,1,1.7821969161436575,0.29005039485985384,0.5,0.16666666666666666
324,3,20,1,1,2,1,0,0,23,5,6,2,7,11,10,6,0,1,0,0,0.6713161707182526,0.4866245311055962,0.25,0.25
325,12,13,2,1,0,2,0,0,8,15,3,6,9,10,4,8,2,1,0,0,1.333640265561634,0.6335970538558273,1.0,0.5833333333333334
326,4,2,3,2,0,3,2,0,15,12,8,3,12,16,5,6,3,2,0,0,0.6000537408463578,0.139509728354854,0.3333333333333333,0.3333333333333333
327,17,7,1,0,0,0,0,2,9,4,1,2,9,8,9,6,2,2,0,0,0.4628881146827837,0.054149431006618606,0.16666666666666666,0.08333333333333333
328,14,11,3,0,0,1,0,0,20,6,7,1,9,9,7,5,1,1,0,0,2.9035824252747853,0.649791900590837,0.5833333333333334,0.4166666666666667
329,6,3,2,3,1,1,0,0,10,17,7,5,13,14,4,7,5,3,0,0,0.2206368619246057,0.6579147921974301,0.08333333333333333,0.3333333333333333
330,16,5,1,1,2,0,1,1,17,12,7,3,10,11,6,3,1,1,0,0,1.1663730421266871,0.6698412109878343,0.4166666666666667,0.5833333333333334
331,18,19,1,3,1,1,2,1,8,17,3,6,11,12,5,7,3,4,0,0,1.5509490738005511,3.6502537362222074,1.0,0.75
332,9,8,0,1,1,0,0,2,14,10,4,4,8,13,4,4,1,1,0,0,1.738306482400096,0.9607645751489866,1.0,0.08333333333333333
333,10,1,2,1,0,1,1,2,8,15,4,3,11,9,2,5,1,0,0,0,1.3517279988518895,0.1458620818977588,0.75,0.75
334,20,15,1,1,2,0,0,2,18,11,6,7,15,21,10,1,2,3,0,0,0.5982372424476209,0.4265669592729053,0.3333333333333333,0.0
335,2,18,1,1,2,0,0,2,8,16,5,6,6,5,3,4,1,0,0,0,1.2763959830179266,2.037851026688178,0.08333333333333333,0.75
336,11,9,0,2,1,0,1,1,13,13,2,4,9,8,8,5,3,1,0,0,0.4527784918187403,3.0209892215206864,0.4166666666666667,0.75
337,12,3,1,2,1,0,1,1,5,16,2,5,9,11,3,2,1,0,0,0,0.8935389779262948,1.0980160798327692,1.0,0.5833333333333334
338,13,6,0,0,2,0,0,2,11,6,3,2,10,10,11,3,0,0,0,0,0.4449503052780803,0.3663443805882341,0.5,0.0
339,7,4,0,0,2,0,0,2,14,6,4,1,17,13,4,3,3,5,0,0,0.721601012945738,0.6563275677951873,0.08333333333333333,0.5833333333333334
340,8,14,2,2,2,0,1,1,13,9,6,3,12,5,7,4,0,1,0,0,0.5622743809620551,0.8956393937242508,0.3333333333333333,0.8333333333333334
341,1,20,4,1,0,0,0,2,20,11,8,4,11,9,8,6,3,2,0,0,1.9427830114085043,0.32603843584074943,0.75,0.4166666666666667
342,19,16,5,0,0,2,0,0,19,4,12,1,6,8,5,1,0,1,0,0,2.8958458053785314,0.20506052084414245,0.75,0.25
343,15,12,1,1,2,1,0,0,8,16,3,7,15,5,3,8,2,1,0,0,0.4420403736427703,0.7848227782995675,0.08333333333333333,0.75
344,5,10,1,0,0,0,0,2,9,9,1,2,10,11,4,6,2,1,0,0,1.385478021526748,0.6626083459546489,0.4166666666666667,1.0
345,12,2,0,0,2,0,0,2,10,9,4,1,5,17,3,4,0,2,0,0,0.6447093255677193,0.3883393807134295,0.5833333333333334,0.16666666666666666
346,4,13,5,0,0,2,0,0,15,6,9,1,11,9,8,2,1,1,0,1,0.8091407686187808,0.42451002608340427,0.4166666666666667,0.3333333333333333
347,17,5,0,2,1,0,1,1,9,7,2,5,9,8,4,3,1,0,0,0,0.3101350368374651,0.822594288833153,0.3333333333333333,0.4166666666666667
348,14,15,0,0,2,0,0,2,20,5,2,1,7,14,9,2,1,2,0,0,2.0861673214941647,1.243982063053526,0.6666666666666666,0.16666666666666666
349,10,8,0,1,1,0,1,1,17,9,2,2,8,13,5,1,1,3,0,0,0.905657759230766,1.4068348147701102,0.75,0.4166666666666667
350,6,11,2,1,0,1,1,2,14,14,6,7,12,11,5,8,5,1,0,0,0.4350681891195819,0.4353605733958608,0.08333333333333333,0.16666666666666666
351,16,3,0,1,1,0,1,1,10,11,3,3,13,9,1,2,1,1,0,0,0.7814699382248804,1.482919183734576,0.16666666666666666,0.5833333333333334
352,9,1,2,1,0,1,0,0,17,8,3,3,12,7,9,0,0,1,0,0,1.7864409694263563,0.0977275948714984,0.75,0.75
353,20,19,1,4,1,1,2,1,4,19,1,7,5,11,0,7,0,1,0,0,0.400818952439906,3.8476720262299215,0.4166666666666667,0.75
354,18,7,2,0,0,1,0,0,13,13,3,5,11,10,4,0,1,0,0,0,1.5688183860327354,0.03628011877443446,0.5833333333333334,0.16666666666666666
355,2,9,1,0,0,0,0,2,11,16,4,3,5,3,5,6,2,0,0,0,2.2733224261197527,2.0240627784188603,0.25,0.75
356,11,16,1,0,0,1,0,0,13,12,5,3,10,10,11,6,1,4,0,0,0.5204484636973074,0.13739054896557545,0.08333333333333333,0.16666666666666666
357,5,6,1,1,2,0,0,2,9,11,3,5,14,12,3,4,2,4,0,1,1.0491639200170384,0.7026584820979436,0.6666666666666666,0.3333333333333333
358,13,20,0,2,1,0,1,1,13,13,2,3,8,9,8,3,1,2,0,0,0.2981167045363138,0.472872036582516,0.08333333333333333,0.16666666666666666
359,15,4,1,2,1,1,0,0,7,13,2,2,18,12,1,7,5,2,0,0,0.2961670503406561,0.8022008910973015,0.25,0.6666666666666666
360,7,10,2,1,0,2,0,0,11,9,8,1,9,11,2,5,2,1,0,0,0.940261767110772,0.4439475917896147,0.08333333333333333,0.5
361,8,18,1,0,0,0,0,2,9,18,1,5,13,12,5,9,4,1,0,0,1.234765219769154,1.3653601878810795,0.6666666666666666,0.5833333333333334
362,1,12,5,0,0,2,0,0,16,6,8,2,6,7,4,5,0,1,0,0,2.2017745282473618,0.5258312614607101,0.5,0.4166666666666667
363,3,14,1,0,0,1,0,0,12,10,4,5,12,9,3,1,3,2,0,0,0.9668771706472554,0.6000783937952481,0.8333333333333334,0.5
364,19,17,0,0,2,0,0,2,15,5,2,3,9,4,10,1,0,3,0,0,2.05050534761988,1.1795485123533909,0.75,0.3333333333333333
365,16,6,0,1,1,0,0,2,11,13,3,8,7,15,7,6,2,1,0,0,0.52358485861067,0.960543561712154,0.08333333333333333,0.4166666666666667
366,3,17,1,1,2,0,0,2,22,3,5,2,7,10,9,0,0,1,0,0,1.0370587134102802,1.109366969590366,1.0,0.4166666666666667
367,13,1,3,1,0,1,0,0,19,14,10,7,7,12,6,6,2,2,0,1,0.33036681084390823,0.06547748856390392,0.08333333333333333,0.5
368,19,2,3,1,0,2,1,0,19,6,7,3,5,7,4,3,0,1,0,0,2.178657343255312,0.26018738507799777,0.8333333333333334,0.4166666666666667
369,18,10,1,0,0,0,0,2,11,14,7,3,10,8,6,4,2,3,0,0,1.7153210913233083,0.2974448864990419,0.3333333333333333,0.25
370,20,9,0,0,2,0,0,2,9,16,2,6,12,12,1,6,1,1,0,0,0.9364894150129608,1.4883923158458048,0.3333333333333333,0.5
371,12,11,1,2,1,1,0,0,12,16,4,5,14,9,7,8,0,0,0,0,0.4319552481303719,0.6481146508332082,0.16666666666666666,0.25
372,4,8,2,0,0,0,0,2,11,7,5,1,10,11,4,2,2,3,0,0,1.2733962574929172,0.9425793258959738,0.8333333333333334,0.8333333333333334
373,17,1,0,1,1,0,1,1,18,9,3,4,11,7,7,4,1,0,0,0,0.2077904746811016,0.1678220507202674,0.4166666666666667,0.5
374,14,2,4,0,0,2,0,0,22,2,11,1,3,6,7,3,0,0,0,0,2.172029158569904,0.1743255480022585,0.4166666666666667,0.4166666666666667
375,9,7,1,0,0,1,0,0,7,7,1,3,6,11,6,5,4,0,0,0,1.7984134086219197,0.024307679578871092,0.5833333333333334,0.3333333333333333
376,10,3,3,0,0,1,0,0,16,6,6,2,11,10,4,2,0,1,0,0,1.395021089863176,0.9935558531021658,0.0,0.8333333333333334
377,6,19,0,1,1,0,0,2,8,13,3,2,8,10,1,12,3,1,0,0,0.29149568671011983,3.991244528639384,0.6666666666666666,0.8333333333333334
378,16,15,1,2,1,1,2,1,26,8,11,5,12,9,6,0,1,2,0,0,0.3508018552691489,1.416765066395047,0.0,0.25
379,18,13,5,4,0,1,2,1,14,16,6,9,9,13,4,4,1,2,0,0,1.855409399930832,0.28442171747588085,0.5833333333333334,0.3333333333333333
380,20,5,3,1,0,1,0,0,15,14,4,7,10,13,6,6,0,1,0,0,1.2079455303279012,0.5511381735182125,0.3333333333333333,0.6666666666666666
