MatchNo,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home Form,Away Form,Home Streak,Away Streak
62,3,19,0,1,1,0,0,2,4,17,2,6,8,13,4,8,0,2,0,0,0.5481517899999999,2.11514821,0.8333333333333334,1.0
63,17,18,0,4,1,0,3,1,6,14,1,7,7,4,4,7,1,1,0,0,0.64740358,2.5626074200000004,0.25,0.6666666666666666
64,9,4,4,0,0,2,0,0,18,6,7,1,6,9,6,5,0,0,0,0,1.8714517900000005,0.20151121,0.8333333333333334,0.0
65,15,6,2,1,0,1,0,0,17,21,6,3,11,10,5,6,1,2,0,0,1.30592221,0.8422147899999999,0.16666666666666666,0.3333333333333333
66,8,7,2,2,2,2,1,0,9,15,4,3,12,11,7,6,3,0,0,0,1.1865282793,1.5389975107000002,0.16666666666666666,0.5833333333333334
67,20,16,1,0,0,0,0,2,9,6,4,1,15,13,2,1,3,2,0,0,1.33072963,0.74444437,0.3333333333333333,0.3333333333333333
68,1,2,2,0,0,1,0,0,25,9,12,1,7,8,6,5,0,2,0,0,2.0173777900000003,0.34964821,0.5833333333333334,0.5833333333333334
69,5,12,0,1,1,0,1,1,23,5,4,2,14,7,9,3,2,2,0,0,0.6962887899999999,1.5999852100000005,0.25,0.5
70,10,14,1,1,2,1,1,2,8,17,5,2,11,6,1,5,1,1,0,0,1.06258516,1.0125888399999998,0.75,0.5833333333333334
71,12,20,1,1,2,0,1,1,20,8,5,6,11,14,7,4,2,2,0,1,0.7846542793000001,0.6749829306999999,0.6666666666666666,0.5833333333333334
72,4,3,2,1,0,2,1,0,14,15,5,5,7,6,5,8,2,1,0,0,1.0293370000000002,1.4792260000000002,0.0,0.5833333333333334
73,14,9,0,0,2,0,0,2,19,6,5,1,7,13,7,3,0,2,0,0,1.4701913293,1.5360568807,0.4166666666666667,0.8333333333333334
74,19,15,7,2,0,3,1,0,20,5,11,1,5,8,5,0,0,1,0,0,1.67442958,0.3985334199999999,1.0,0.3333333333333333
75,16,17,2,0,0,1,0,0,7,7,3,2,12,16,5,3,1,5,0,0,0.5948260000000001,0.597037,0.08333333333333333,0.16666666666666666
76,18,11,1,0,0,0,0,2,18,5,6,1,9,7,9,5,1,3,0,0,1.09704079,0.20151121,0.8333333333333334,0.3333333333333333
77,7,1,2,1,0,0,1,1,11,9,2,6,8,10,2,5,1,0,0,0,0.8051887900000001,0.42261121,0.5833333333333334,0.8333333333333334
78,2,5,1,1,2,0,0,2,12,13,3,6,12,10,7,1,4,1,0,0,1.08812221,0.76374079,0.5,0.25
79,6,10,2,2,2,0,1,1,12,19,2,5,11,12,3,8,1,2,0,0,0.5642839092999999,0.5809048806999999,0.25,0.5833333333333334
80,13,8,1,1,2,0,0,2,11,5,3,1,13,6,4,1,2,2,0,0,0.597037,0.597037,0.16666666666666666,0.16666666666666666
