,Team,i
0,Arsenal,1
1,Brighton,2
2,Chelsea,3
3,Crystal Palace,4
4,Everton,5
5,Southampton,6
6,Watford,7
7,West Brom,8
8,Man United,9
9,Newcastle,10
10,Bournemouth,11
11,Burnley,12
12,Leicester,13
13,Liverpool,14
14,Stoke,15
15,Swansea,16
16,Huddersfield,17
17,Tottenham,18
18,Man City,19
19,West Ham,20
