Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
home, 0.2874510933306505, 0.06283008917960038, 0.0008705036006393552, 0.16503923340006996, 0.41051823198454007, 0.16747546242768335, 0.24466373427010163, 0.28700432990880825, 0.3297482389239755, 0.41359579919132206
intercept, 0.051311765400154204, 0.04940825408239687, 0.0007551176254898906, -0.04490125047035316, 0.1480920406900535, -0.045357628097310435, 0.018833756841956477, 0.05134428537081837, 0.08412984459812305, 0.14795553825247731
tau_att, 7.651425564898094, 2.814462184872785, 0.06880053595106711, 2.8520709052763875, 13.24968797863042, 3.3725078302390985, 5.6407202992188035, 7.232442085904245, 9.223705222697053, 14.396671302124389
tau_def, 18.78016555782609, 8.135286860202797, 0.19236239135731273, 6.175937445161146, 35.12288848940613, 7.560562700925285, 12.918531389248239, 17.25165157416405, 22.869718000557413, 38.87802278744428
