,index,Team,points_lower,Pts,points_median,points_upper,goals_for_lower,goals_scored,goals_for_median,goals_for_upper,goals_against_lower,goals_lost,goals_against_median,goals_against_upper,relative_goals_upper,relative_goals_lower,relative_goals_against_upper,relative_goals_against_lower,relative_points_upper,relative_points_lower,error_Pts,error_goals_scored,error_goals_lost
0,7,Huddersfield,20.0,37.0,36,54.0,18.0,28.0,31,48.0,38.0,58.0,56,77.0,17.0,13.0,21.0,18.0,18.0,16.0,0.02702702702702703,-0.10714285714285714,0.034482758620689655
1,15,Swansea,21.0,33.0,37,55.0,18.0,28.0,31,47.0,36.0,56.0,54,75.0,16.0,13.0,21.0,18.0,18.0,16.0,-0.12121212121212122,-0.10714285714285714,0.03571428571428571
2,18,West Brom,23.0,31.0,39,57.0,20.0,31.0,34,51.0,37.0,56.0,54,75.0,17.0,14.0,21.0,17.0,18.0,16.0,-0.25806451612903225,-0.0967741935483871,0.03571428571428571
3,2,Brighton,25.0,40.0,41,60.0,22.0,34.0,36,53.0,35.0,54.0,53,73.0,17.0,14.0,20.0,18.0,19.0,16.0,-0.025,-0.058823529411764705,0.018518518518518517
4,14,Stoke,21.0,33.0,36,54.0,22.0,35.0,37,54.0,44.0,68.0,63,86.0,17.0,15.0,23.0,19.0,18.0,15.0,-0.09090909090909091,-0.05714285714285714,0.07352941176470588
5,3,Burnley,32.0,54.0,49,68.0,23.0,36.0,38,56.0,27.0,39.0,42,60.0,18.0,15.0,18.0,15.0,19.0,17.0,0.09259259259259259,-0.05555555555555555,-0.07692307692307693
6,13,Southampton,26.0,36.0,42,61.0,24.0,37.0,38,57.0,37.0,56.0,54,75.0,19.0,14.0,21.0,17.0,19.0,16.0,-0.16666666666666666,-0.02702702702702703,0.03571428571428571
7,12,Newcastle,29.0,44.0,47,66.0,25.0,39.0,40,58.0,32.0,47.0,48,67.02499999999964,18.0,15.0,19.024999999999636,16.0,19.0,18.0,-0.06818181818181818,-0.02564102564102564,-0.02127659574468085
8,6,Everton,28.0,49.0,45,63.0,28.0,44.0,43,61.0,38.0,58.0,56,78.0,18.0,15.0,22.0,18.0,18.0,17.0,0.08163265306122448,0.022727272727272728,0.034482758620689655
9,17,Watford,26.0,41.0,43,62.0,28.0,44.0,44,63.0,42.0,64.0,61,83.0,19.0,16.0,22.0,19.0,19.0,17.0,-0.04878048780487805,0.0,0.046875
10,1,Bournemouth,29.0,44.0,46,63.024999999999636,31.0,45.0,46,63.0,39.0,61.0,58,80.0,17.0,15.0,22.0,19.0,17.024999999999636,17.0,-0.045454545454545456,-0.022222222222222223,0.04918032786885246
11,5,Crystal Palace,31.0,44.0,48,67.0,30.0,45.0,45,65.0,35.0,55.0,53,74.0,20.0,15.0,21.0,18.0,19.0,17.0,-0.09090909090909091,0.0,0.03636363636363636
12,19,West Ham,28.0,42.0,45,64.0,32.0,48.0,49,68.0,44.0,68.0,63,87.0,19.0,17.0,24.0,19.0,19.0,17.0,-0.07142857142857142,-0.020833333333333332,0.07352941176470588
13,8,Leicester,33.97500000000001,47.0,52,70.0,35.0,56.0,54,75.0,39.0,60.0,57,79.0,21.0,19.0,22.0,18.0,18.0,18.02499999999999,-0.10638297872340426,0.03571428571428571,0.05
14,4,Chelsea,47.0,70.0,66,84.0,41.0,62.0,60,83.0,25.0,38.0,41,59.0,23.0,19.0,18.0,16.0,18.0,19.0,0.05714285714285714,0.03225806451612903,-0.07894736842105263
15,11,Man United,54.0,81.0,73,90.0,46.0,68.0,65,89.0,20.0,28.0,34,50.0,24.0,19.0,16.0,14.0,17.0,19.0,0.09876543209876543,0.04411764705882353,-0.21428571428571427
16,0,Arsenal,47.0,63.0,65,83.0,50.0,74.0,70,96.0,33.0,51.0,50,70.0,26.0,20.0,20.0,17.0,18.0,18.0,-0.031746031746031744,0.05405405405405406,0.0196078431372549
17,16,Tottenham,53.0,77.0,72,90.0,50.0,74.0,70,95.0,24.0,36.0,39,57.0,25.0,20.0,18.0,15.0,18.0,19.0,0.06493506493506493,0.05405405405405406,-0.08333333333333333
18,9,Liverpool,58.0,75.0,76,92.02499999999964,58.0,84.0,80,105.0,26.0,38.0,41,59.0,25.0,22.0,18.0,15.0,16.024999999999636,18.0,-0.013333333333333334,0.047619047619047616,-0.07894736842105263
19,10,Man City,73.0,100.0,89,103.0,74.0,106.0,100,129.0,20.0,27.0,33,49.0,29.0,26.0,16.0,13.0,14.0,16.0,0.11,0.05660377358490566,-0.2222222222222222
