Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
home, 0.28481880530553966, 0.06173833318297344, 0.0023874348523396146, 0.16952464328369235, 0.40125784012367727, 0.16808164399577138, 0.24305584721744738, 0.2892192501184223, 0.32788263303396536, 0.40078199023088196
intercept, 0.0376708102632181, 0.04973017776051737, 0.0019575906865465066, -0.06300043350781447, 0.13608073258511325, -0.06300043350781447, 0.006268785334320548, 0.03911544451519766, 0.07155634024148605, 0.13608073258511325
tau_att, 16.310661328523082, 9.801844437607047, 0.756320987586241, 3.0117787222078505, 34.69079753344993, 5.260514316253718, 9.926932889845983, 14.18161655573309, 19.519927318842626, 40.622325329212806
tau_def, 20.819390162892752, 10.847360232265958, 0.7947197410249933, 4.309238745286095, 41.833617311306796, 6.032257188750194, 12.481944984363627, 18.630263561281282, 27.354108713509838, 49.06127669721816
