,index,Team,points_lower,Pts,points_median,points_upper,goals_for_lower,goals_scored,goals_for_median,goals_for_upper,goals_against_lower,goals_lost,goals_against_median,goals_against_upper,relative_goals_upper,relative_goals_lower,relative_goals_against_upper,relative_goals_against_lower,relative_points_upper,relative_points_lower,error_Pts,error_goals_scored,error_goals_lost
0,7,Huddersfield,21,37,36,55,18,28,31,48,38,58,56,77,17,13,21,18,19,15,0.027027027,-0.107142857,0.034482759
1,15,Swansea,22,33,37,55,18,28,31,47,36,56,54,72,16,13,18,18,18,15,-0.121212121,-0.107142857,0.035714286
2,18,West Brom,23,31,39,57,19,31,33,50.025,37,56,54,75.025,17.025,14,21.025,17,18,16,-0.258064516,-0.064516129,0.035714286
3,2,Brighton,25,40,41,60,21.975,34,35,53,35,54,53,74,18,13.025,21,18,19,16,-0.025,-0.029411765,0.018518519
4,14,Stoke,21,33,37,55,23,35,37,54,44,68,64,87,17,14,23,20,18,16,-0.121212121,-0.057142857,0.058823529
5,3,Burnley,31.975,54,49,68,23,36,37,56,26,39,42,62,19,14,20,16,19,17.025,0.092592593,-0.027777778,-0.076923077
6,13,Southampton,24,36,43,61.025,23,37,39,57,37,56,54,75,18,16,21,17,18.025,19,-0.194444444,-0.054054054,0.035714286
7,12,Newcastle,30,44,48,67,26,39,40,60,31,47,48,66,20,14,18,17,19,18,-0.090909091,-0.025641026,-0.021276596
8,6,Everton,29,49,46,65,28.975,44,44,63,37,58,56,76,19,15.025,20,19,19,17,0.06122449,0,0.034482759
9,17,Watford,25,41,41,59,26.975,44,43,59,42,64,61,85,16,16.025,24,19,18,16,0,0.022727273,0.046875
10,1,Bournemouth,30,44,47.5,66,33,45,48,68,39,61,57,81,20,15,24,18,18.5,17.5,-0.079545455,-0.066666667,0.06557377
11,5,Crystal Palace,30,44,46.5,65,26.975,45,43,61,35,55,54,76,18,16.025,22,19,18.5,16.5,-0.056818182,0.044444444,0.018181818
12,19,West Ham,25.975,42,43,64,31,48,47,69,45,68,64.5,87,22,16,22.5,19.5,21,17.025,-0.023809524,0.020833333,0.051470588
13,8,Leicester,36,47,52,70,37,56,56,77.025,40,60,58,77,21.025,19,19,18,18,16,-0.106382979,0,0.033333333
14,4,Chelsea,47,70,66,84,39.975,62,60,83,26,38,41,60,23,20.025,19,15,18,19,0.057142857,0.032258065,-0.078947368
15,11,Man United,54,81,73,90,46,68,66,90,21,28,34,52,24,20,18,13,17,19,0.098765432,0.029411765,-0.214285714
16,0,Arsenal,48,63,66,83,51.975,74,70,94.025,33,51,49,69,24.025,18.025,20,16,17,18,-0.047619048,0.054054054,0.039215686
17,16,Tottenham,55,77,73,89,50,74,71,96,25,36,39,57,25,21,18,14,16,18,0.051948052,0.040540541,-0.083333333
18,9,Liverpool,57.975,75,76,94,57.975,84,80,109,26,38,41,59,29,22.025,18,15,18,18.025,-0.013333333,0.047619048,-0.078947368
19,10,Man City,74,100,89,103.025,75,106,100,128.025,20,27,32,49,28.025,25,17,12,14.025,15,0.11,0.056603774,-0.185185185
